timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
2468704000,0.0,0.0,0.0,0.0
2468900000,0.0,0.0,0.0,0.0
2469104000,0.0,0.0,0.0,0.0
2469304000,0.0,0.0,0.0,0.0
2469504000,0.0,0.0,0.0,0.0
2469704000,0.0,0.0,0.0,0.0
2469908000,0.0,0.0,0.0,0.0
2470104000,0.0,0.0,0.0,0.0
2470304000,0.0,0.0,0.0,0.0
2470504000,0.0,0.0,0.0,0.0
2470704000,0.0,0.0,0.0,0.0
2470904000,0.0,0.0,0.0,0.0
2471104000,0.0,0.0,0.0,0.0
2471304000,0.0,0.0,0.0,0.0
2471504000,0.0,0.0,0.0,0.0
2471704000,0.0,0.0,0.0,0.0
2471904000,0.0,0.0,0.0,0.0
2472100000,0.0,1.381e-06,0.0,0.0
2472304000,0.0,2.486e-06,3.463e-07,0.0
2472504000,0.0,-1.670e-05,9.671e-08,0.0
2472704000,0.0,-4.729e-05,-8.977e-07,0.0
2472904000,0.0,-6.687e-05,-6.792e-07,0.0
2473104000,0.0,-9.998e-05,-8.545e-07,0.0
2473304000,0.0,-9.998e-05,-8.545e-07,0.0
2473504000,0.0,-0.000,-8.545e-07,0.0
2473704000,0.0,-0.000,-8.545e-07,0.0
2473908000,0.0,-0.000,-8.545e-07,0.0
2474104000,0.0,-0.000,-8.545e-07,0.0
2474304000,0.0,-0.000,-8.545e-07,0.0
2474504000,0.0,-0.000,-8.545e-07,0.0
2474704000,0.0,-1.351e-05,-8.878e-06,0.0
2474904000,2.087e-06,-3.103e-05,-1.376e-05,0.0
2475104000,2.087e-06,-5.934e-05,-1.376e-05,0.0
2475304000,2.087e-06,-8.693e-05,-1.376e-05,0.0
2475504000,2.087e-06,-9.017e-05,-1.338e-05,0.0
2475704000,2.087e-06,-9.549e-05,-1.143e-05,0.0
2475904000,2.087e-06,-0.000,-1.094e-05,0.0
2476104000,5.199e-06,-0.000,-9.456e-06,0.0
2476304000,4.786e-06,-0.000,-8.917e-06,0.0
2476504000,4.786e-06,-0.000,-8.925e-06,0.0
