timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
126976000,0.0,0.0,0.0,0.0
127180000,0.0,0.0,0.0,0.0
127380000,0.0,0.0,0.0,0.0
127580000,0.0,0.0,0.0,0.0
127780000,0.0,0.0,0.0,0.0
127980000,0.0,0.0,0.0,0.0
128180000,0.0,0.0,0.0,0.0
128380000,0.0,0.0,0.0,0.0
128580000,0.0,0.0,0.0,0.0
128780000,0.0,0.0,0.0,0.0
128980000,-0.000,0.000,3.427e-05,0.0
129180000,-0.000,0.000,3.427e-05,0.0
129380000,-0.000,0.000,3.427e-05,0.0
129580000,-0.000,0.000,3.427e-05,0.0
129780000,-0.000,0.000,3.427e-05,0.0
129980000,-0.000,0.000,3.427e-05,0.0
130180000,-0.000,0.000,3.427e-05,0.0
130380000,-0.000,0.000,3.427e-05,0.0
130584000,-0.000,0.000,3.427e-05,0.0
130780000,-0.000,0.000,3.427e-05,0.0
130980000,-0.000,0.000,3.427e-05,0.0
131180000,-0.000,0.000,3.427e-05,0.0
131380000,-0.000,0.000,3.427e-05,0.0
131580000,-0.000,0.000,1.633e-05,0.0
131780000,-0.000,-2.330e-05,-1.199e-05,0.0
131980000,-0.000,-4.567e-05,-3.143e-05,0.0
132180000,-0.000,-5.146e-05,-5.131e-05,0.0
132380000,-0.000,-4.950e-05,-6.236e-05,0.0
132580000,-0.000,-5.968e-05,-6.417e-05,0.0
132780000,-0.000,-6.614e-05,-5.884e-05,0.0
132980000,-0.000,-7.061e-05,-4.863e-05,0.0
133180000,-6.424e-05,-5.352e-05,-4.027e-05,0.0
133380000,-1.902e-05,-4.682e-05,-3.234e-05,0.0
133580000,-2.251e-05,-3.745e-05,-4.177e-05,0.0
133780000,-3.453e-05,-3.765e-05,-7.385e-05,0.0
133980000,-5.853e-05,-4.013e-05,-0.000,0.0
134180000,-9.492e-05,-3.675e-05,-0.000,0.0
134380000,-0.000,-3.331e-05,-0.000,0.0
134580000,-0.000,-3.505e-05,-0.000,0.0
134780000,-0.000,-3.574e-05,-0.000,0.0
134980000,-0.000,-3.464e-05,-0.000,0.0
135180000,-0.000,-3.572e-05,-0.000,0.0
135380000,-0.000,-3.580e-05,-0.000,0.0
135580000,-0.000,-3.357e-05,-0.000,0.0
135780000,-0.000,-2.937e-05,-0.000,0.0
135980000,-8.516e-05,-2.299e-05,-0.000,0.0
136180000,-6.470e-05,-1.370e-05,-0.000,0.0
136380000,-4.400e-05,-1.902e-05,-0.000,0.0
136580000,-3.023e-05,-2.451e-05,-0.000,0.0
136780000,-3.021e-05,-2.672e-05,-0.000,0.0
136980000,-5.834e-05,-1.966e-05,-0.000,0.0
137180000,-9.716e-05,-1.126e-05,-0.000,0.0
137380000,-0.000,-5.885e-06,-0.000,0.0
137580000,-0.000,-1.939e-06,-0.000,0.0
137780000,-0.000,3.156e-06,-0.000,0.0
137980000,-0.000,1.866e-06,-0.000,0.0
138180000,-0.000,-4.067e-06,-0.000,0.0
138380000,-0.000,-8.447e-06,-0.000,0.0
138580000,-0.000,-1.103e-05,-0.000,0.0
