timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
126976000,-0.007,0.025,-1.311e-05,0.0,0.0,-0.001,0
127080000,-0.007,0.025,-8.046e-06,0.0,0.0,-0.001,0
127180000,-0.007,0.025,5.662e-06,0.0,0.0,-0.001,0
127280000,-0.007,0.025,-1.758e-05,0.0,0.0,-0.001,0
127380000,-0.007,0.025,-2.562e-05,0.0,0.0,-0.001,0
127480000,-0.007,0.025,-3.427e-05,0.0,0.0,-0.001,0
127580000,-0.007,0.026,-4.827e-05,0.0,0.0,-0.001,0
127680000,-0.007,0.026,-2.861e-05,0.0,0.0,-0.001,0
127780000,-0.007,0.026,-2.384e-05,0.0,0.0,-0.001,0
127880000,-0.007,0.027,-2.533e-05,0.0,0.0,-0.001,0
127980000,-0.007,0.027,-2.264e-05,0.0,0.0,-0.001,0
128080000,-0.007,0.027,2.622e-05,0.0,0.0,-0.014,0
128180000,-0.007,0.027,0.000,0.0,0.0,-0.028,0
128280000,-0.007,0.027,0.000,0.0,0.0,-0.045,0
128380000,-0.007,0.027,0.000,0.0,0.0,-0.062,0
128480000,-0.007,0.027,0.001,0.0,0.0,-0.083,0
128580000,-0.007,0.027,0.002,0.0,0.0,-0.104,0
128680000,-0.007,0.027,0.003,0.0,0.0,-0.129,0
128780000,-0.008,0.027,0.003,0.0,0.0,-0.153,0
128880000,-0.008,0.027,0.003,0.0,0.0,-0.181,0
128980000,-0.008,0.027,0.004,0.0,0.0,-0.209,0
129080000,-0.008,0.027,0.004,0.0,0.0,-0.241,0
129180000,-0.008,0.027,0.004,0.0,0.0,-0.273,0
129280000,-0.008,0.027,0.004,0.0,0.0,-0.309,0
129380000,-0.008,0.027,0.004,0.0,0.0,-0.344,0
129480000,-0.008,0.027,0.004,0.0,0.0,-0.384,0
129580000,-0.008,0.027,0.004,0.0,0.0,-0.422,0
129680000,-0.008,0.027,0.004,0.0,0.0,-0.466,0
129780000,-0.008,0.027,0.004,0.0,0.0,-0.508,0
129880000,-0.008,0.027,0.004,0.0,0.0,-0.555,0
129980000,-0.008,0.027,0.004,0.0,0.0,-0.601,0
130080000,-0.008,0.027,0.004,0.0,0.0,-0.652,0
130180000,-0.008,0.027,0.004,0.0,0.0,-0.695,0
130300000,-0.008,0.027,0.004,0.0,0.0,-0.713,0
130400000,-0.008,0.027,0.004,0.0,0.0,-0.729,0
130500000,-0.008,0.028,0.005,0.0,0.0,-0.743,0
130600000,-0.008,0.028,0.005,0.0,0.0,-0.759,0
130700000,-0.008,0.028,0.005,0.0,0.0,-0.773,0
130800000,-0.008,0.028,0.005,0.0,0.0,-0.789,0
130900000,-0.008,0.028,0.005,0.0,0.0,-0.803,0
131000000,-0.008,0.028,0.005,0.0,0.0,-0.819,0
131100000,-0.008,0.028,0.005,0.0,0.0,-0.833,0
131200000,-0.008,0.028,0.005,0.0,0.0,-0.849,0
131300000,-0.008,0.028,0.005,0.0,0.0,-0.863,0
131400000,-0.008,0.021,0.004,0.0,0.0,-0.877,0
131500000,-0.008,0.009,0.003,0.0,0.0,-0.884,0
131600000,-0.007,0.003,0.002,0.0,0.0,-0.888,0
131700000,-0.006,0.001,0.001,0.0,0.0,-0.890,0
131800000,-0.005,0.000,0.001,0.0,0.0,-0.890,0
131900000,-0.005,0.000,0.000,0.0,0.0,-0.890,0
132000000,-0.004,0.000,0.000,0.0,0.0,-0.889,0
132100000,-0.003,8.982e-05,-5.632e-05,0.0,0.0,-0.888,0
132200000,-0.002,4.933e-05,-0.000,0.0,0.0,-0.887,0
132300000,-0.002,5.637e-05,-0.000,0.0,0.0,-0.886,0
132400000,-0.001,6.164e-05,-0.000,0.0,0.0,-0.885,0
132500000,-0.001,-7.264e-05,-0.000,0.0,0.0,-0.884,0
132600000,-0.000,-0.000,-5.245e-05,0.0,0.0,-0.883,0
132700000,-0.000,-0.000,3.784e-05,0.0,0.0,-0.882,0
132800000,0.000,-0.000,0.000,0.0,0.0,-0.881,0
132900000,0.000,-0.000,0.000,0.0,0.0,-0.881,0
133000000,0.001,-0.000,0.000,0.0,0.0,-0.880,0
133100000,0.001,-0.000,0.001,0.0,0.0,-0.880,0
133200000,0.001,-0.000,0.002,0.0,0.0,-0.879,0
133300000,0.001,-0.000,0.003,0.0,0.0,-0.878,0
133400000,0.001,-0.000,0.004,0.0,0.0,-0.878,0
133500000,0.000,-0.000,0.005,0.0,0.0,-0.877,0
133600000,0.000,4.598e-05,0.005,0.0,0.0,-0.876,0
133700000,0.000,0.000,0.004,0.0,0.0,-0.876,0
133800000,6.773e-05,0.000,0.003,0.0,0.0,-0.875,0
133900000,-8.489e-05,0.000,0.003,0.0,0.0,-0.875,0
134000000,-0.000,2.446e-06,0.003,0.0,0.0,-0.874,0
134100000,-0.000,-0.000,0.002,0.0,0.0,-0.874,0
134200000,-0.000,-0.000,0.002,0.0,0.0,-0.873,0
134304000,-0.000,-0.000,0.001,0.0,0.0,-0.873,0
134420000,-0.000,-4.754e-05,0.001,0.0,0.0,-0.872,0
134540000,-0.000,-1.991e-05,0.001,0.0,0.0,-0.872,0
134640000,-0.000,-5.354e-05,0.002,0.0,0.0,-0.872,0
134740000,-0.000,-6.105e-05,0.002,0.0,0.0,-0.871,0
134840000,-0.000,-8.689e-05,0.003,0.0,0.0,-0.871,0
134940000,-0.000,-9.817e-05,0.004,0.0,0.0,-0.870,0
135040000,-0.000,-7.500e-05,0.004,0.0,0.0,-0.870,0
135140000,-0.000,-9.853e-05,0.003,0.0,0.0,-0.870,0
135260000,-0.000,-7.340e-05,0.001,0.0,0.0,-0.869,0
135360000,-0.000,-6.119e-05,0.000,0.0,0.0,-0.869,0
135460000,-4.245e-05,-0.000,0.000,0.0,0.0,-0.869,0
135560000,9.108e-05,-0.000,0.001,0.0,0.0,-0.869,0
135660000,0.000,-0.000,0.002,0.0,0.0,-0.869,0
135760000,0.000,-0.000,0.002,0.0,0.0,-0.869,0
135860000,0.000,-0.000,0.000,0.0,0.0,-0.869,0
135960000,0.000,-4.861e-05,-0.001,0.0,0.0,-0.868,0
136060000,0.000,0.000,-0.003,0.0,0.0,-0.868,0
136160000,0.000,0.000,-0.004,0.0,0.0,-0.867,0
136260000,0.000,0.000,-0.005,0.0,0.0,-0.867,0
136360000,0.000,0.000,-0.003,0.0,0.0,-0.867,0
136460000,0.000,0.000,-0.001,0.0,0.0,-0.867,0
136560000,0.000,1.458e-05,0.001,0.0,0.0,-0.890,0
136660000,0.000,-4.067e-05,0.004,0.0,0.0,-0.894,0
136760000,-4.265e-07,-0.000,0.008,0.0,0.0,-0.885,0
136864000,-0.000,-0.000,0.011,0.0,0.0,-0.890,0
136980000,-0.000,-0.000,0.013,0.0,0.0,-0.890,0
137080000,-0.000,-0.000,0.014,0.0,0.0,-0.884,0
137180000,-0.000,-0.000,0.015,0.0,0.0,-0.853,0
137280000,-0.000,-0.000,0.016,0.0,0.0,-0.859,0
137380000,-0.000,-0.000,0.016,0.0,0.0,-0.862,0
137480000,-0.000,-0.000,0.016,0.0,0.0,-0.864,0
137580000,-0.000,-0.000,0.014,0.0,0.0,-0.865,0
137680000,-0.000,4.642e-06,0.011,0.0,0.0,-0.866,0
137780000,-0.000,0.000,0.008,0.0,0.0,-0.866,0
137880000,-0.000,0.000,0.006,0.0,0.0,-0.866,0
137980000,-0.000,0.000,0.004,0.0,0.0,-0.866,0
138080000,-0.000,0.000,0.003,0.0,0.0,-0.866,0
138180000,-0.000,0.000,0.002,0.0,0.0,-0.866,0
138280000,-0.000,0.000,0.000,0.0,0.0,-0.866,0
138380000,-0.000,0.000,-0.000,0.0,0.0,-0.866,0
138480000,-0.000,0.000,-0.001,0.0,0.0,-0.866,0
138580000,-0.000,0.000,-0.002,0.0,0.0,-0.865,0
138680000,-0.000,0.000,-0.002,0.0,0.0,-0.865,0
138780000,-0.000,0.000,-0.002,0.0,0.0,-0.865,0
138880000,-0.000,0.000,-0.002,0.0,0.0,-0.865,0
138980000,-0.000,0.000,-0.002,0.0,0.0,-0.865,0
139080000,-0.000,0.000,-0.001,0.0,0.0,-0.865,0
139180000,-0.000,0.000,-0.001,0.0,0.0,-0.865,0
139280000,-0.000,0.000,-0.001,0.0,0.0,-0.865,0
139380000,-0.000,0.000,-0.001,0.0,0.0,-0.865,0
139480000,-0.000,0.000,-0.001,0.0,0.0,-0.865,0
139580000,-0.000,0.000,-0.000,0.0,0.0,-0.865,0
139680000,-0.000,0.000,-0.000,0.0,0.0,-0.865,0
139780000,2.411e-05,0.000,-0.000,0.0,0.0,-0.865,0
139880000,0.000,0.000,-0.000,0.0,0.0,-0.865,0
139980000,0.000,8.237e-05,-0.000,0.0,0.0,-0.865,0
140080000,0.000,-5.490e-05,-0.000,0.0,0.0,-0.865,0
140180000,0.000,-0.000,-0.000,0.0,0.0,-0.865,0
140280000,0.001,-0.000,-0.000,0.0,0.0,-0.865,0
140380000,0.001,-0.000,0.000,0.0,0.0,-0.865,0
140480000,0.001,-0.000,0.000,0.0,0.0,-0.865,0
140580000,0.001,-8.873e-05,0.000,0.0,0.0,-0.864,0
140680000,0.001,-6.009e-05,0.000,0.0,0.0,-0.864,0
140780000,0.001,-1.460e-05,0.000,0.0,0.0,-0.864,0
140880000,0.001,-1.015e-06,0.000,0.0,0.0,-0.864,0
140980000,0.001,6.588e-05,-7.092e-05,0.0,0.0,-0.864,0
141080000,0.001,0.000,-0.000,0.0,0.0,-0.864,0
141180000,0.001,0.000,-0.000,0.0,0.0,-0.864,0
141280000,0.001,0.000,-0.000,0.0,0.0,-0.864,0
141380000,0.001,0.000,-0.000,0.0,0.0,-0.864,0
141480000,0.000,0.000,-0.001,0.0,0.0,-0.864,0
141580000,0.000,0.000,-0.001,0.0,0.0,-0.864,0
141680000,0.252,3.591e-05,-0.001,0.0,0.0,-0.869,0
141780000,0.242,0.000,-0.001,0.0,0.0,-0.867,0
141880000,0.227,0.000,-0.001,0.0,0.0,-0.866,0
141980000,0.207,0.000,-0.001,0.0,0.0,-0.865,0
142080000,0.183,0.000,-0.001,0.0,0.0,-0.865,0
142180000,0.158,0.000,-0.000,0.0,0.0,-0.865,0
142280000,0.131,0.000,0.000,0.0,0.0,-0.865,0
142380000,0.104,0.000,0.002,0.0,0.0,-0.865,0
142480000,0.079,0.001,0.006,0.0,0.0,-0.865,0
142580000,0.054,0.002,0.011,0.0,0.0,-0.866,0
142680000,0.032,0.003,0.019,0.0,0.0,-0.866,0
142780000,0.012,0.004,0.028,0.0,0.0,-0.867,0
142880000,-0.005,0.003,0.029,0.0,0.0,-0.867,0
142980000,-0.019,0.001,0.023,0.0,0.0,-0.868,0
143080000,-0.032,0.001,0.017,0.0,0.0,-0.868,0
143180000,-0.041,0.001,0.013,0.0,0.0,-0.869,0
143280000,-0.048,0.000,0.009,0.0,0.0,-0.869,0
143380000,-0.052,0.000,0.006,0.0,0.0,-0.869,0
143480000,-0.054,-0.000,0.002,0.0,0.0,-0.869,0
143580000,-0.307,-0.000,0.001,0.0,0.0,-0.866,0
143680000,-0.296,-0.000,0.000,0.0,0.0,-0.868,0
143784000,-0.278,-0.000,0.000,0.0,0.0,-0.870,0
143900000,-0.249,-0.001,-0.000,0.0,0.0,-0.870,0
