timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1204720000,0.0,0.0,0.0,0.0
1204920000,0.0,0.0,0.0,0.0
1205120000,0.0,0.0,0.0,0.0
1205320000,0.0,0.0,0.0,0.0
1205520000,0.0,0.0,0.0,0.0
1205720000,0.0,0.0,0.0,0.0
1205920000,0.0,0.0,0.0,0.0
1206120000,0.0,0.0,0.0,0.0
1206320000,0.0,0.0,0.0,0.0
1206520000,0.0,0.0,0.0,0.0
1206720000,0.0,0.0,0.0,0.0
1206920000,0.0,0.0,0.0,0.0
1207120000,0.0,0.0,0.0,0.0
1207320000,0.0,0.0,0.0,0.0
1207520000,0.0,0.0,0.0,0.0
1207720000,0.0,0.0,0.0,0.0
1207920000,0.0,0.0,0.0,0.0
1208116000,0.0,0.0,0.0,0.0
1208320000,0.0,0.0,0.0,0.0
1208520000,0.0,0.0,0.0,0.0
1208720000,0.0,0.0,0.0,0.0
1208920000,0.0,0.0,0.0,0.0
1209120000,0.0,0.0,0.0,0.0
1209320000,0.0,0.0,0.0,0.0
1209520000,0.0,0.0,0.0,0.0
1209720000,0.0,0.0,0.0,0.0
1209916000,0.0,0.0,0.0,0.0
1210120000,0.0,0.0,0.0,0.0
1210320000,0.0,2.367e-05,0.0,0.0
1210520000,0.0,5.269e-05,0.0,0.0
1210720000,0.0,5.269e-05,0.0,0.0
1210920000,0.0,8.620e-05,0.0,0.0
1211120000,0.0,8.620e-05,9.660e-08,0.0
1211320000,0.0,8.620e-05,1.862e-07,0.0
1211520000,0.0,8.620e-05,1.340e-06,0.0
1211720000,0.0,0.000,1.340e-06,0.0
1211920000,0.0,0.000,1.216e-06,0.0
1212120000,0.0,0.000,1.034e-06,0.0
1212320000,-7.388e-05,0.000,4.167e-06,0.0
1212520000,-0.000,0.000,1.022e-05,0.0
1212720000,-0.000,0.000,1.316e-05,0.0
1212920000,-0.000,0.000,1.051e-05,0.0
1213120000,-0.000,0.000,-2.413e-06,0.0
1213320000,-0.000,0.000,-1.438e-05,0.0
1213520000,-0.000,0.000,-1.798e-05,0.0
1213720000,-0.000,0.000,-1.713e-05,0.0
1213920000,-0.000,0.000,-2.708e-05,0.0
1214120000,5.434e-05,0.000,-3.727e-05,0.0
1214320000,0.000,0.000,-4.377e-05,0.0
1214520000,0.000,0.000,-4.991e-05,0.0
1214720000,0.000,0.000,-5.616e-05,0.0
1214920000,0.000,0.000,-6.241e-05,0.0
1215120000,0.000,0.000,-6.218e-05,0.0
1215320000,0.000,0.000,-6.087e-05,0.0
1215520000,6.305e-05,0.000,-5.952e-05,0.0
1215720000,-8.936e-05,0.000,-5.907e-05,0.0
1215920000,-0.000,0.000,-6.361e-05,0.0
1216120000,-0.000,0.000,-7.056e-05,0.0
1216320000,-0.000,0.000,-7.442e-05,0.0
1216520000,-0.000,0.000,-8.085e-05,0.0
1216720000,-0.000,0.000,-8.492e-05,0.0
1216920000,-0.000,0.000,-8.666e-05,0.0
1217120000,-0.000,0.000,-8.267e-05,0.0
1217320000,-0.000,0.000,-8.422e-05,0.0
1217520000,-0.000,0.000,-8.424e-05,0.0
1217720000,-0.000,0.000,-8.396e-05,0.0
1217920000,-0.000,0.000,-8.509e-05,0.0
1218120000,-9.669e-05,0.000,-8.337e-05,0.0
1218320000,2.337e-05,0.000,-7.717e-05,0.0
1218520000,0.000,0.000,-7.317e-05,0.0
1218720000,0.000,0.000,-6.739e-05,0.0
1218920000,0.000,0.000,-6.784e-05,0.0
1219120000,-5.025e-06,0.000,-7.257e-05,0.0
1219320000,-0.000,0.000,-7.547e-05,0.0
1219520000,-0.000,0.000,-7.815e-05,0.0
1219720000,-0.000,0.000,-8.165e-05,0.0
1219920000,-0.000,0.000,-8.596e-05,0.0
1220120000,-0.000,0.000,-8.914e-05,0.0
1220320000,-0.000,0.000,-8.668e-05,0.0
1220520000,-0.000,0.000,-8.503e-05,0.0
1220720000,-4.943e-05,0.000,-8.175e-05,0.0
